Lubama;1) kellele? + objekt 2) (kellel? +) da-infinitiiv;1) Lubasin endale ühe jäätise. 2) Ema lubas (lapsel) telerit vaadata.;Обещать/Разрешать;To promise/Allow;Vəd etmək/İcazə vermək
Lõikama;1) objekt + milleks? 2) objekt + millega?;1) Lõikasin tordi tükkideks. 2) Lõikan torti noaga.;Резать;To cut;Kəsmək
Mahtuma;1) kuhu? 2) ma-infinitiiv;1) Raamat ei mahtunud riiulisse. 2) Buss oli nii täis et ei mahtunud seisma.;Помещаться;To fit/Be accommodated;Yerləşmək
Maksma;1) kellele + objekt 2) kuhu? 3) milles/millega? 4) mille eest? 5) da-infinitiiv;1) Mart maksis sõbrale võla ära. 2) Maksa kassasse. 3) Kas siin saab dollarites/dollaritega maksta? 4) Kui palju sa särgi eest maksid? 5) Kas seda filmi maksab vaadata?;Платить/Стоить;To pay/Cost;Ödəmək/Dəyər
Meeldima;1) kellele? + kes? mis? 2) kellele? + da-infinitiiv;1) Liisale meeldivad loomad. 2) Marile meeldib tantsida.;Нравиться;To like/Appeal;Xoş gəlmək/Sevmək
Minema;1) kuhu? 2) ma-infinitiiv;1) Üliõpilased lähevad ülikooli. 2) Sõbrad läksid jooksma.;Идти/Ехать;To go;Getmək
Muretsema;mille pärast?;Minu pärast pole vaja muretseda.;Волноваться/Беспокоиться;To worry/Be anxious;Narahat olmaq/Qayğı çəkmək
Muutuma;kelleks? milleks?;Toas muutus lumi veeks.;Превращаться/Становиться;To change/Become;Dəyişmək/Çevrilmək
Mõistma;keda? mida?;Ma mõistan sind.;Понимать/Осознавать;To understand/Realize;Anlamaq/Dərk etmək
Mõtlema;1) kellele? millele? / kelle/mille peale? 2) kellest? millest?;1) Miks sa minule / minu peale ei mõelnud? 2) Ema mõtles lastest.;Думать;To think;Düşünmək
Mängima;1) keda? mida? 2) mida? 3) kellega? millega?;1) Kes mängib filmis peategelast? 2) Poisid mängivad tennist. 3) Laps mängib koeraga.;Играть;To play;Oynamaq
Müüma;1) objekt + kellele? 2) objekt + mille eest?;1) Müüsime televiisori sõbrale. 2) Kaupmees müüs isale raamatu viie euro eest.;Продавать;To sell;Satmaq
Naerma;1) keda? mida? 2) kelle/mille üle?;1) Naersime uut anekdooti. 2) Priit naeris sõbra üle.;Смеяться;To laugh;Gülmək
Nutma;1) millest? 2) mille pärast?;1) Võitja nuttis rõõmust. 2) Tütar nuttis ema haiguse pärast.;Плакать;To cry;Ağlamaq
Nõustuma;kellega? millega?;Ma nõustun sinuga.;Соглашаться;To agree;Razılaşmaq
Näitama;keda? mida? (+ kellele?);Näitasin (sõbrale) uut ajakirja.;Показывать;To show;Göstərmək
Ootama;1) keda? mida? 2) (kellelt? +) mida?;1) Ootan sõpra. 2) Ootan (sõbralt) kirja.;Ждать/Ожидать;To wait/Expect;Gözləmək
Osalema;kus?;Rein osales spordivõistlustel.;Участвовать;To participate;İştirak etmək
